order_id,user_id,product_id,product_name,quantity,price,order_date,payment_method,city
1000,U139,P001,Bluetooth Speaker,1,1499,2025-07-28 10:59:57,Credit Card,Delhi
1001,U060,P004,Smart Watch,3,3499,2025-07-25 08:47:29,Credit Card,Bengaluru
1002,U181,P002,Mobile Cover,1,299,2025-07-29 10:10:17,Wallet,Bengaluru
1003,U105,P003,Power Bank,3,999,2025-07-11 00:13:28,Wallet,Hyderabad
1004,U107,P001,Bluetooth Speaker,1,1499,2025-07-26 12:59:59,Wallet,Hyderabad
1005,U100,P007,Screen Guard,3,199,2025-07-25 08:55:34,UPI,Pune
1006,U196,P005,Earbuds,2,1999,2025-07-31 12:44:42,Wallet,Kolkata
1007,U002,P003,Power Bank,2,999,2025-07-24 22:35:56,Wallet,Mumbai
1008,U108,P005,Earbuds,3,1999,2025-07-30 06:42:22,COD,Hyderabad
1009,U155,P002,Mobile Cover,2,299,2025-07-07 11:15:31,Credit Card,Pune
1010,U070,P004,Smart Watch,2,3499,2025-07-15 02:13:38,UPI,Bengaluru
1011,U100,P003,Power Bank,3,999,2025-07-18 16:34:42,Wallet,Pune
1012,U186,P002,Mobile Cover,2,299,2025-07-21 13:32:57,Credit Card,Pune
1013,U160,P005,Earbuds,1,1999,2025-07-23 19:03:15,Wallet,Hyderabad
1014,U152,P005,Earbuds,3,1999,2025-07-16 03:39:01,UPI,Chennai
1015,U022,P006,Charger,2,699,2025-07-16 07:38:19,Credit Card,Kolkata
1016,U119,P002,Mobile Cover,1,299,2025-07-31 18:32:04,Netbanking,Chennai
1017,U098,P003,Power Bank,1,999,2025-07-23 17:10:13,Wallet,Mumbai
1018,U084,P003,Power Bank,2,999,2025-07-25 23:51:30,Netbanking,Bengaluru
1019,U193,P007,Screen Guard,2,199,2025-07-30 15:45:09,Netbanking,Kolkata
1020,U021,P004,Smart Watch,1,3499,2025-07-17 13:22:56,COD,Kolkata
1021,U014,P003,Power Bank,1,999,2025-07-14 13:47:18,UPI,Delhi
1022,U200,P006,Charger,1,699,2025-07-21 23:39:28,UPI,Delhi
1023,U064,P002,Mobile Cover,1,299,2025-07-11 03:56:11,COD,Hyderabad
